doi;title;author;date;sdg;ugc_source;paperurl;source;query
10.1007/s11069-016-2329-6;Spatial, temporal, and content analysis of Twitter for wildfire hazards;Wang Z.;01.08.2016;11.5;twitter;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84965066812&origin=inward;scopus;KEY((disaster AND (manage* OR help* OR support*)) AND ((citizen science collective sens*) OR (citizen science) OR (citizen sensing) OR (community-based monitoring) OR (community-based participatory research) OR (participatory sensing) OR (participatory action research) OR (participatory gis) OR (PPGIS) OR (volunteer monitoring) OR (Web 2.0) OR (Neogeograph*) OR (volunteered geograph*) OR (vgi) OR (crowdsourc*) OR (crowd-sourc*) OR (crowd sourc*) OR (user-generated content*) OR (user generated content*) OR (ugc) OR (social media) OR (gisience)))
10.1016/j.envpol.2013.07.045;Modelling relationships between lichen bioindicators, air quality and climate on a national scale: results from the UK OPAL air survey;Seed L.;01.11.2013;3.9;OPAL - Citizen Science Dataset collection;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84882800340&origin=inward;scopus;KEY(((chemical* OR air OR water OR soil) AND (pollution OR contamination)) AND ((citizen science collective sens*) OR (citizen science) OR (citizen sensing) OR (community-based monitoring) OR (community-based participatory research) OR (participatory sensing) OR (participatory action research) OR (participatory gis) OR (PPGIS) OR (volunteer monitoring) OR (Web 2.0) OR (Neogeograph*) OR (volunteered geograph*) OR (vgi) OR (crowdsourc*) OR (crowd-sourc*) OR (crowd sourc*) OR (user-generated content*) OR (user generated content*) OR (ugc) OR (social media) OR (gisience)))
10.1007/978-3-319-14280-7_12;Building a multimodal urban network model Using OpenStreetMap data for the analysis of sustainable accessibility;Gil J.;01.01.2015;11.3;openstreetmap (osm);https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84959209204&origin=inward;scopus;KEY((urban* AND (inclus* OR sustain*)) AND ((citizen science collective sens*) OR (citizen science) OR (citizen sensing) OR (community-based monitoring) OR (community-based participatory research) OR (participatory sensing) OR (participatory action research) OR (participatory gis) OR (PPGIS) OR (volunteer monitoring) OR (Web 2.0) OR (Neogeograph*) OR (volunteered geograph*) OR (vgi) OR (crowdsourc*) OR (crowd-sourc*) OR (crowd sourc*) OR (user-generated content*) OR (user generated content*) OR (ugc) OR (social media) OR (gisience)))
10.1353/sgo.2018.0020;Geospatial assessment of wetness dynamics in the October 2015 SC flood with remote sensing and social media;Wang C.;01.06.2018;11.5;twitter;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85050388393&origin=inward;scopus;KEY((disaster AND (manage* OR help* OR support*)) AND ((citizen science collective sens*) OR (citizen science) OR (citizen sensing) OR (community-based monitoring) OR (community-based participatory research) OR (participatory sensing) OR (participatory action research) OR (participatory gis) OR (PPGIS) OR (volunteer monitoring) OR (Web 2.0) OR (Neogeograph*) OR (volunteered geograph*) OR (vgi) OR (crowdsourc*) OR (crowd-sourc*) OR (crowd sourc*) OR (user-generated content*) OR (user generated content*) OR (ugc) OR (social media) OR (gisience)))
10.1007/s10346-018-1034-9;Utilizing crowdsourcing to enhance the mitigation and management of landslides;Choi C.E.;01.09.2018;11.5;unknow name - Citizen Science App;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85049882488&origin=inward;scopus;KEY((disaster AND (manage* OR help* OR support*)) AND ((citizen science collective sens*) OR (citizen science) OR (citizen sensing) OR (community-based monitoring) OR (community-based participatory research) OR (participatory sensing) OR (participatory action research) OR (participatory gis) OR (PPGIS) OR (volunteer monitoring) OR (Web 2.0) OR (Neogeograph*) OR (volunteered geograph*) OR (vgi) OR (crowdsourc*) OR (crowd-sourc*) OR (crowd sourc*) OR (user-generated content*) OR (user generated content*) OR (ugc) OR (social media) OR (gisience)))
10.1016/j.trc.2017.09.016;Open PFLOW: Creation and evaluation of an open dataset for typical people mass movement in urban areas;Kashiyama T.;01.12.2017;11.3;Open PFLOW - open access movement dataset;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85033566206&origin=inward;scopus;KEY((particip* plan* AND (urban OR settlement)) AND ((citizen science collective sens*) OR (citizen science) OR (citizen sensing) OR (community-based monitoring) OR (community-based participatory research) OR (participatory sensing) OR (participatory action research) OR (participatory gis) OR (PPGIS) OR (volunteer monitoring) OR (Web 2.0) OR (Neogeograph*) OR (volunteered geograph*) OR (vgi) OR (crowdsourc*) OR (crowd-sourc*) OR (crowd sourc*) OR (user-generated content*) OR (user generated content*) OR (ugc) OR (social media) OR (gisience)))
10.1016/j.compenvurbsys.2013.05.003;GIS and agent-based models for humanitarian assistance;Crooks A.;01.09.2013;11.5;openstreetmap (osm);https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84879271023&origin=inward;scopus;KEY((infrastruct* AND disaster) AND ((citizen science collective sens*) OR (citizen science) OR (citizen sensing) OR (community-based monitoring) OR (community-based participatory research) OR (participatory sensing) OR (participatory action research) OR (participatory gis) OR (PPGIS) OR (volunteer monitoring) OR (Web 2.0) OR (Neogeograph*) OR (volunteered geograph*) OR (vgi) OR (crowdsourc*) OR (crowd-sourc*) OR (crowd sourc*) OR (user-generated content*) OR (user generated content*) OR (ugc) OR (social media) OR (gisience)))
10.3390/su8010025;Using social media for emergency response and urban sustainability: A case study of the 2012 Beijing rainstorm;Wang Y.;01.01.2016;11.3;sina weibo;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84956638040&origin=inward;scopus;TITLE((urban* AND (inclus* OR sustain*)) AND ((citizen science collective sens*) OR (citizen science) OR (citizen sensing) OR (community-based monitoring) OR (community-based participatory research) OR (participatory sensing) OR (participatory action research) OR (participatory gis) OR (PPGIS) OR (volunteer monitoring) OR (Web 2.0) OR (Neogeograph*) OR (volunteered geograph*) OR (vgi) OR (crowdsourc*) OR (crowd-sourc*) OR (crowd sourc*) OR (user-generated content*) OR (user generated content*) OR (ugc) OR (social media) OR (gisience)))
10.1016/j.ecoinf.2013.07.006;Interactive plant identification based on social image data;Joly A.;01.01.2014;3.9;Pl@ntNet (https://identify.plantnet.org) - Citizen Science Project;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84905119264&origin=inward;scopus;KEY((sustainable cit*) AND ((citizen science collective sens*) OR (citizen science) OR (citizen sensing) OR (community-based monitoring) OR (community-based participatory research) OR (participatory sensing) OR (participatory action research) OR (participatory gis) OR (PPGIS) OR (volunteer monitoring) OR (Web 2.0) OR (Neogeograph*) OR (volunteered geograph*) OR (vgi) OR (crowdsourc*) OR (crowd-sourc*) OR (crowd sourc*) OR (user-generated content*) OR (user generated content*) OR (ugc) OR (social media) OR (gisience)))
10.4031/MTSJ.49.4.3;SeaCleaner: Focusing citizen science and environment education on unraveling the marine litter problem;Merlino S.;01.08.2015;11.6;"SeaCleaner;Marine Litterwatch - Citizen Science Project";https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84957599443&origin=inward;scopus;KEY((solid waste AND (urban OR cit* OR municip*)) AND ((citizen science collective sens*) OR (citizen science) OR (citizen sensing) OR (community-based monitoring) OR (community-based participatory research) OR (participatory sensing) OR (participatory action research) OR (participatory gis) OR (PPGIS) OR (volunteer monitoring) OR (Web 2.0) OR (Neogeograph*) OR (volunteered geograph*) OR (vgi) OR (crowdsourc*) OR (crowd-sourc*) OR (crowd sourc*) OR (user-generated content*) OR (user generated content*) OR (ugc) OR (social media) OR (gisience)))
10.1111/j.1548-1425.2012.01362.x;Reflections on #Occupy Everywhere: Social media, public space, and emerging logics of aggregation;Juris J.;01.05.2012;11.7;twitter;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84860699617&origin=inward;scopus;TITLE(((green OR public OR open) AND (place* OR space*)) AND ((citizen science collective sens*) OR (citizen science) OR (citizen sensing) OR (community-based monitoring) OR (community-based participatory research) OR (participatory sensing) OR (participatory action research) OR (participatory gis) OR (PPGIS) OR (volunteer monitoring) OR (Web 2.0) OR (Neogeograph*) OR (volunteered geograph*) OR (vgi) OR (crowdsourc*) OR (crowd-sourc*) OR (crowd sourc*) OR (user-generated content*) OR (user generated content*) OR (ugc) OR (social media) OR (gisience)))
10.1016/j.marpolbul.2015.11.006;POPs monitoring in Australia and New Zealand using plastic resin pellets, and International Pellet Watch as a tool for education and raising public awareness on plastic debris and POPs;Yeo B.;01.01.2015;3.9;International Pellet Watch- Citizen Science Project;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84974559417&origin=inward;scopus;KEY(((chemical* OR air OR water OR soil) AND (pollution OR contamination)) AND ((citizen science collective sens*) OR (citizen science) OR (citizen sensing) OR (community-based monitoring) OR (community-based participatory research) OR (participatory sensing) OR (participatory action research) OR (participatory gis) OR (PPGIS) OR (volunteer monitoring) OR (Web 2.0) OR (Neogeograph*) OR (volunteered geograph*) OR (vgi) OR (crowdsourc*) OR (crowd-sourc*) OR (crowd sourc*) OR (user-generated content*) OR (user generated content*) OR (ugc) OR (social media) OR (gisience)))
10.1016/j.compenvurbsys.2017.07.002;Inferring urban air quality based on social media;Wang Y.d.;01.11.2017;3.9;sina weibo;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85027549508&origin=inward;scopus;KEY(((chemical* OR air OR water OR soil) AND (pollution OR contamination)) AND ((citizen science collective sens*) OR (citizen science) OR (citizen sensing) OR (community-based monitoring) OR (community-based participatory research) OR (participatory sensing) OR (participatory action research) OR (participatory gis) OR (PPGIS) OR (volunteer monitoring) OR (Web 2.0) OR (Neogeograph*) OR (volunteered geograph*) OR (vgi) OR (crowdsourc*) OR (crowd-sourc*) OR (crowd sourc*) OR (user-generated content*) OR (user generated content*) OR (ugc) OR (social media) OR (gisience)))
;The use of information and communication technology for the construction and demolition waste (CDW) management in the city of Recife;de Lima A.;01.01.2015;11.6;Cidade Limpa - Citizen Science App;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84936067232&origin=inward;scopus;KEY((environ* AND impact * AND (urban OR cit* OR municip*)) AND ((citizen science collective sens*) OR (citizen science) OR (citizen sensing) OR (community-based monitoring) OR (community-based participatory research) OR (participatory sensing) OR (participatory action research) OR (participatory gis) OR (PPGIS) OR (volunteer monitoring) OR (Web 2.0) OR (Neogeograph*) OR (volunteered geograph*) OR (vgi) OR (crowdsourc*) OR (crowd-sourc*) OR (crowd sourc*) OR (user-generated content*) OR (user generated content*) OR (ugc) OR (social media) OR (gisience)))
10.1108/OIR-08-2015-0286;Leveraging cross-media analytics to detect events and mine opinions for emergency management;Xu W.;01.01.2017;11.5;"tecent;sina weibo;sina weibo;";https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85027462146&origin=inward;scopus;KEY((disaster AND (manage* OR help* OR support*)) AND ((citizen science collective sens*) OR (citizen science) OR (citizen sensing) OR (community-based monitoring) OR (community-based participatory research) OR (participatory sensing) OR (participatory action research) OR (participatory gis) OR (PPGIS) OR (volunteer monitoring) OR (Web 2.0) OR (Neogeograph*) OR (volunteered geograph*) OR (vgi) OR (crowdsourc*) OR (crowd-sourc*) OR (crowd sourc*) OR (user-generated content*) OR (user generated content*) OR (ugc) OR (social media) OR (gisience)))
10.1371/currents.dis.967e71514ecb92402eca3bdc9b789529;Codified hashtags for weather warning on twitter: An Italian case study;Grasso V.;01.01.2016;11.5;twitter;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85010826013&origin=inward;scopus;KEY((disaster AND (manage* OR help* OR support*)) AND ((citizen science collective sens*) OR (citizen science) OR (citizen sensing) OR (community-based monitoring) OR (community-based participatory research) OR (participatory sensing) OR (participatory action research) OR (participatory gis) OR (PPGIS) OR (volunteer monitoring) OR (Web 2.0) OR (Neogeograph*) OR (volunteered geograph*) OR (vgi) OR (crowdsourc*) OR (crowd-sourc*) OR (crowd sourc*) OR (user-generated content*) OR (user generated content*) OR (ugc) OR (social media) OR (gisience)))
10.3390/ijerph9072520;Global Adult Tobacco Survey Data as a tool to monitor the WHO Framework Convention on tobacco control (WHO FCTC) implementation: The Brazilian case;Almeida L.;01.07.2012;11.a;Survey;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84870373325&origin=inward;scopus;KEY(((urban OR integrat*) AND polic*) AND ((citizen science collective sens*) OR (citizen science) OR (citizen sensing) OR (community-based monitoring) OR (community-based participatory research) OR (participatory sensing) OR (participatory action research) OR (participatory gis) OR (PPGIS) OR (volunteer monitoring) OR (Web 2.0) OR (Neogeograph*) OR (volunteered geograph*) OR (vgi) OR (crowdsourc*) OR (crowd-sourc*) OR (crowd sourc*) OR (user-generated content*) OR (user generated content*) OR (ugc) OR (social media) OR (gisience)))
10.1371/currents.dis.f2e5b9e979af6174d2f97c1f0349be5c;Twitter as a potential disaster risk reduction tool. part II: Descriptive analysis of identified twitter activity during the 2013 hattiesburg F4 tornado;Cooper G.;29.06.2015;11.b;twitter;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84958580559&origin=inward;scopus;KEY((disaster AND risk AND reduction) AND ((citizen science collective sens*) OR (citizen science) OR (citizen sensing) OR (community-based monitoring) OR (community-based participatory research) OR (participatory sensing) OR (participatory action research) OR (participatory gis) OR (PPGIS) OR (volunteer monitoring) OR (Web 2.0) OR (Neogeograph*) OR (volunteered geograph*) OR (vgi) OR (crowdsourc*) OR (crowd-sourc*) OR (crowd sourc*) OR (user-generated content*) OR (user generated content*) OR (ugc) OR (social media) OR (gisience)))
10.3390/ijerph9124254;Narratives and images used by public communication campaigns addressing social determinants of health and health disparities;Clarke C.;01.12.2012;11.a;"Stories;Videos";https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84871531825&origin=inward;scopus;KEY(((urban OR integrat*) AND polic*) AND ((citizen science collective sens*) OR (citizen science) OR (citizen sensing) OR (community-based monitoring) OR (community-based participatory research) OR (participatory sensing) OR (participatory action research) OR (participatory gis) OR (PPGIS) OR (volunteer monitoring) OR (Web 2.0) OR (Neogeograph*) OR (volunteered geograph*) OR (vgi) OR (crowdsourc*) OR (crowd-sourc*) OR (crowd sourc*) OR (user-generated content*) OR (user generated content*) OR (ugc) OR (social media) OR (gisience)))
10.1080/10630732.2019.1595991;Identification of Potential Over-Supply Zones of Urban Shopping Malls: Integration of Crowdsourced Data and Weighted Voronoi Diagram;Gao J.;03.07.2019;11.a;User reviews - not further specified;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85065079030&origin=inward;scopus;KEY(((urban OR integrat*) AND polic*) AND ((citizen science collective sens*) OR (citizen science) OR (citizen sensing) OR (community-based monitoring) OR (community-based participatory research) OR (participatory sensing) OR (participatory action research) OR (participatory gis) OR (PPGIS) OR (volunteer monitoring) OR (Web 2.0) OR (Neogeograph*) OR (volunteered geograph*) OR (vgi) OR (crowdsourc*) OR (crowd-sourc*) OR (crowd sourc*) OR (user-generated content*) OR (user generated content*) OR (ugc) OR (social media) OR (gisience)))
10.1177/0956247807076924;Air pollution monitoring through an Internet-based network of volunteers;Ikram M.;01.04.2007;3.9;Airparif;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=34247278286&origin=inward;scopus;TITLE(((chemical* OR air OR water OR soil) AND (pollution OR contamination)) AND ((citizen science collective sens*) OR (citizen science) OR (citizen sensing) OR (community-based monitoring) OR (community-based participatory research) OR (participatory sensing) OR (participatory action research) OR (participatory gis) OR (PPGIS) OR (volunteer monitoring) OR (Web 2.0) OR (Neogeograph*) OR (volunteered geograph*) OR (vgi) OR (crowdsourc*) OR (crowd-sourc*) OR (crowd sourc*) OR (user-generated content*) OR (user generated content*) OR (ugc) OR (social media) OR (gisience)))
10.1007/s10844-016-0404-9;Creating corroborated crisis reports from social media data through formal concept analysis;Andrews S.;01.10.2016;11.5;twitter;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84966393218&origin=inward;scopus;KEY((disaster AND (manage* OR help* OR support*)) AND ((citizen science collective sens*) OR (citizen science) OR (citizen sensing) OR (community-based monitoring) OR (community-based participatory research) OR (participatory sensing) OR (participatory action research) OR (participatory gis) OR (PPGIS) OR (volunteer monitoring) OR (Web 2.0) OR (Neogeograph*) OR (volunteered geograph*) OR (vgi) OR (crowdsourc*) OR (crowd-sourc*) OR (crowd sourc*) OR (user-generated content*) OR (user generated content*) OR (ugc) OR (social media) OR (gisience)))
10.1016/j.landurbplan.2020.103892;Area is the primary correlate of annual and seasonal patterns of avian species richness in urban green spaces;La Sorte F.A.;01.11.2020;3.9;eBird (Citizen science);https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85088142795&origin=inward;scopus;KEY((urban* AND green*) AND ((citizen science collective sens*) OR (citizen science) OR (citizen sensing) OR (community-based monitoring) OR (community-based participatory research) OR (participatory sensing) OR (participatory action research) OR (participatory gis) OR (PPGIS) OR (volunteer monitoring) OR (Web 2.0) OR (Neogeograph*) OR (volunteered geograph*) OR (vgi) OR (crowdsourc*) OR (crowd-sourc*) OR (crowd sourc*) OR (user-generated content*) OR (user generated content*) OR (ugc) OR (social media) OR (gisience)))
10.1186/s12940-020-00627-5;Translational data analytics in exposure science and environmental health: A citizen science approach with high school students;Hyder A.;01.07.2020;3.9;Citizen science - air quality sensors website ;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85087472149&origin=inward;scopus;KEY(((chemical* OR air OR water OR soil) AND (pollution OR contamination)) AND ((citizen science collective sens*) OR (citizen science) OR (citizen sensing) OR (community-based monitoring) OR (community-based participatory research) OR (participatory sensing) OR (participatory action research) OR (participatory gis) OR (PPGIS) OR (volunteer monitoring) OR (Web 2.0) OR (Neogeograph*) OR (volunteered geograph*) OR (vgi) OR (crowdsourc*) OR (crowd-sourc*) OR (crowd sourc*) OR (user-generated content*) OR (user generated content*) OR (ugc) OR (social media) OR (gisience)))
10.1016/j.atmosenv.2020.117411;A long short-term memory approach to predicting air quality based on social media data;Zhai W.;15.09.2020;3.9;sina weibo;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85086789271&origin=inward;scopus;KEY(((chemical* OR air OR water OR soil) AND (pollution OR contamination)) AND ((citizen science collective sens*) OR (citizen science) OR (citizen sensing) OR (community-based monitoring) OR (community-based participatory research) OR (participatory sensing) OR (participatory action research) OR (participatory gis) OR (PPGIS) OR (volunteer monitoring) OR (Web 2.0) OR (Neogeograph*) OR (volunteered geograph*) OR (vgi) OR (crowdsourc*) OR (crowd-sourc*) OR (crowd sourc*) OR (user-generated content*) OR (user generated content*) OR (ugc) OR (social media) OR (gisience)))
10.1177/0268396220929258;Social media in times of crisis: Learning from Hurricane Harvey for the coronavirus disease 2019 pandemic response;Mirbabaie M.;01.01.2020;11.5;twitter;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85086271177&origin=inward;scopus;KEY((disaster AND (manage* OR help* OR support*)) AND ((citizen science collective sens*) OR (citizen science) OR (citizen sensing) OR (community-based monitoring) OR (community-based participatory research) OR (participatory sensing) OR (participatory action research) OR (participatory gis) OR (PPGIS) OR (volunteer monitoring) OR (Web 2.0) OR (Neogeograph*) OR (volunteered geograph*) OR (vgi) OR (crowdsourc*) OR (crowd-sourc*) OR (crowd sourc*) OR (user-generated content*) OR (user generated content*) OR (ugc) OR (social media) OR (gisience)))
10.1016/j.landusepol.2020.104641;Green infrastructure planning: Unveiling meaningful spaces through Foursquare users’ preferences;Martí P.;01.09.2020;3.9;Foursquare;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85085922229&origin=inward;scopus;KEY((urban* AND green*) AND ((citizen science collective sens*) OR (citizen science) OR (citizen sensing) OR (community-based monitoring) OR (community-based participatory research) OR (participatory sensing) OR (participatory action research) OR (participatory gis) OR (PPGIS) OR (volunteer monitoring) OR (Web 2.0) OR (Neogeograph*) OR (volunteered geograph*) OR (vgi) OR (crowdsourc*) OR (crowd-sourc*) OR (crowd sourc*) OR (user-generated content*) OR (user generated content*) OR (ugc) OR (social media) OR (gisience)))
10.1109/ACCESS.2020.2994187;Tracking Flooding Phase Transitions and Establishing a Passive Hotline with AI-Enabled Social Media Data;Wang R.Q.;01.01.2020;11.5;twitter;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85086805268&origin=inward;scopus;KEY((disaster AND (manage* OR help* OR support*)) AND ((citizen science collective sens*) OR (citizen science) OR (citizen sensing) OR (community-based monitoring) OR (community-based participatory research) OR (participatory sensing) OR (participatory action research) OR (participatory gis) OR (PPGIS) OR (volunteer monitoring) OR (Web 2.0) OR (Neogeograph*) OR (volunteered geograph*) OR (vgi) OR (crowdsourc*) OR (crowd-sourc*) OR (crowd sourc*) OR (user-generated content*) OR (user generated content*) OR (ugc) OR (social media) OR (gisience)))
10.23914/AP.V9I1.233;Participatory evaluation of cultural heritage based programming to empower communities: A quantitative analysis;Clark L.K.;01.01.2019;11.4;Heritage Monitoring Scouts (HMS) Project - Citizen Science;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85086374294&origin=inward;scopus;KEY(((conserv* OR preserv* OR protect* OR safeguard*) AND (cultur* OR natur*) AND heritage) AND ((citizen science collective sens*) OR (citizen science) OR (citizen sensing) OR (community-based monitoring) OR (community-based participatory research) OR (participatory sensing) OR (participatory action research) OR (participatory gis) OR (PPGIS) OR (volunteer monitoring) OR (Web 2.0) OR (Neogeograph*) OR (volunteered geograph*) OR (vgi) OR (crowdsourc*) OR (crowd-sourc*) OR (crowd sourc*) OR (user-generated content*) OR (user generated content*) OR (ugc) OR (social media) OR (gisience)))
10.1016/j.jclepro.2020.121426;A sentiment reporting framework for major city events: Case study on the China-United States trade war;AlKhatib M.;10.08.2020;3.9;twitter;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85084032594&origin=inward;scopus;KEY((sustainable cit*) AND ((citizen science collective sens*) OR (citizen science) OR (citizen sensing) OR (community-based monitoring) OR (community-based participatory research) OR (participatory sensing) OR (participatory action research) OR (participatory gis) OR (PPGIS) OR (volunteer monitoring) OR (Web 2.0) OR (Neogeograph*) OR (volunteered geograph*) OR (vgi) OR (crowdsourc*) OR (crowd-sourc*) OR (crowd sourc*) OR (user-generated content*) OR (user generated content*) OR (ugc) OR (social media) OR (gisience)))
10.1108/TG-09-2019-0088;Social media in aid of post disaster management;Malawani A.D.;15.04.2020;11.5;twitter;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85083789736&origin=inward;scopus;TITLE((disaster AND (manage* OR help* OR support*)) AND ((citizen science collective sens*) OR (citizen science) OR (citizen sensing) OR (community-based monitoring) OR (community-based participatory research) OR (participatory sensing) OR (participatory action research) OR (participatory gis) OR (PPGIS) OR (volunteer monitoring) OR (Web 2.0) OR (Neogeograph*) OR (volunteered geograph*) OR (vgi) OR (crowdsourc*) OR (crowd-sourc*) OR (crowd sourc*) OR (user-generated content*) OR (user generated content*) OR (ugc) OR (social media) OR (gisience)))
10.1016/j.envsci.2020.05.021;Hidden drivers of social injustice: uncovering unequal cultural ecosystem services behind green gentrification;Amorim Maia A.T.;01.10.2020;3.9;flickr;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85083507733&origin=inward;scopus;KEY((urban* AND green*) AND ((citizen science collective sens*) OR (citizen science) OR (citizen sensing) OR (community-based monitoring) OR (community-based participatory research) OR (participatory sensing) OR (participatory action research) OR (participatory gis) OR (PPGIS) OR (volunteer monitoring) OR (Web 2.0) OR (Neogeograph*) OR (volunteered geograph*) OR (vgi) OR (crowdsourc*) OR (crowd-sourc*) OR (crowd sourc*) OR (user-generated content*) OR (user generated content*) OR (ugc) OR (social media) OR (gisience)))
10.1016/j.landurbplan.2020.103796;Comparing outdoor recreation preferences in peri-urban landscapes using different data gathering methods;Komossa F.;01.07.2020;3.4;Social media - not further specified;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85082667630&origin=inward;scopus;KEY(((outdoor OR nature) AND recreation) AND ((citizen science collective sens*) OR (citizen science) OR (citizen sensing) OR (community-based monitoring) OR (community-based participatory research) OR (participatory sensing) OR (participatory action research) OR (participatory gis) OR (PPGIS) OR (volunteer monitoring) OR (Web 2.0) OR (Neogeograph*) OR (volunteered geograph*) OR (vgi) OR (crowdsourc*) OR (crowd-sourc*) OR (crowd sourc*) OR (user-generated content*) OR (user generated content*) OR (ugc) OR (social media) OR (gisience)))
10.1080/01426397.2020.1749250;Describing and mapping where people experience tranquillity. An exploration based on interviews and Flickr photographs;Wartmann F.M.;03.07.2020;3.4;flickr;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85084842253&origin=inward;scopus;KEY(((outdoor OR nature) AND recreation) AND ((citizen science collective sens*) OR (citizen science) OR (citizen sensing) OR (community-based monitoring) OR (community-based participatory research) OR (participatory sensing) OR (participatory action research) OR (participatory gis) OR (PPGIS) OR (volunteer monitoring) OR (Web 2.0) OR (Neogeograph*) OR (volunteered geograph*) OR (vgi) OR (crowdsourc*) OR (crowd-sourc*) OR (crowd sourc*) OR (user-generated content*) OR (user generated content*) OR (ugc) OR (social media) OR (gisience)))
10.1016/j.scitotenv.2020.137351;Using crowd-sourced allergic rhinitis symptom data to improve grass pollen forecasts and predict individual symptoms;Silver J.D.;10.06.2020;11.6;Mobile App;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85080984294&origin=inward;scopus;KEY((particulate matter) AND ((citizen science collective sens*) OR (citizen science) OR (citizen sensing) OR (community-based monitoring) OR (community-based participatory research) OR (participatory sensing) OR (participatory action research) OR (participatory gis) OR (PPGIS) OR (volunteer monitoring) OR (Web 2.0) OR (Neogeograph*) OR (volunteered geograph*) OR (vgi) OR (crowdsourc*) OR (crowd-sourc*) OR (crowd sourc*) OR (user-generated content*) OR (user generated content*) OR (ugc) OR (social media) OR (gisience)))
10.1016/j.compenvurbsys.2020.101478;Uncovering inconspicuous places using social media check-ins and street view images;Zhang F.;01.05.2020;11.7;"Social media - not further specified; Street view images - not further specified";https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85080116331&origin=inward;scopus;KEY(((green OR public OR open) AND (place* OR space*)) AND ((citizen science collective sens*) OR (citizen science) OR (citizen sensing) OR (community-based monitoring) OR (community-based participatory research) OR (participatory sensing) OR (participatory action research) OR (participatory gis) OR (PPGIS) OR (volunteer monitoring) OR (Web 2.0) OR (Neogeograph*) OR (volunteered geograph*) OR (vgi) OR (crowdsourc*) OR (crowd-sourc*) OR (crowd sourc*) OR (user-generated content*) OR (user generated content*) OR (ugc) OR (social media) OR (gisience)))
10.1016/j.agrformet.2020.107931;Process-based models outcompete correlative models in projecting spring phenology of trees in a future warmer climate;Asse D.;15.05.2020;11.6;citizen-science program - not further specified;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85079526764&origin=inward;scopus;KEY((environ* AND impact * AND (urban OR cit* OR municip*)) AND ((citizen science collective sens*) OR (citizen science) OR (citizen sensing) OR (community-based monitoring) OR (community-based participatory research) OR (participatory sensing) OR (participatory action research) OR (participatory gis) OR (PPGIS) OR (volunteer monitoring) OR (Web 2.0) OR (Neogeograph*) OR (volunteered geograph*) OR (vgi) OR (crowdsourc*) OR (crowd-sourc*) OR (crowd sourc*) OR (user-generated content*) OR (user generated content*) OR (ugc) OR (social media) OR (gisience)))
